State Imports by HS Commodities,,,,,,,
Current date: 07/30/2025 1:51 PM (Eastern Daylight Time),,,,,,,
State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-08,"47,348","47,348","18,614","18,614"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-08,"49,280","49,280","19,362","19,362"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-08,"154,227","154,227","58,124","58,124"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-08,"55,020","55,020","19,320","19,320"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-13,"23,100","23,100","19,474","19,474"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-13,"498,943","498,943","136,053","136,053"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-13,"1,271,838","1,271,838","346,813","346,813"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,May-14,"643,020","643,020","136,492","136,492"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-14,"342,049","342,049","75,290","75,290"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-14,"590,636","590,636","135,828","135,828"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-14,"126,578","126,578","17,431","17,431"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-15,"946,829","946,829","150,778","150,778"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-15,"3,263,897","3,263,897","600,924","600,924"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-15,"1,794,750","1,794,750","350,878","350,878"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-15,"4,009,370","4,009,370","837,533","837,533"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,May-15,"1,977,816","1,977,816","447,860","447,860"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-15,"2,157,735","2,157,735","513,276","513,276"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-15,"90,619","90,619","19,330","19,330"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-16,"1,975,884","1,975,884","562,569","562,569"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-16,"1,478,137","1,478,137","406,366","406,366"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-16,"1,347,096","1,347,096","389,147","389,147"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,May-16,"358,680","358,680","98,700","98,700"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-16,"285,600","285,600","78,960","78,960"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-17,"60,841","60,841","54,460","54,460"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-17,"23,808","23,808","17,224","17,224"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-19,"23,371","23,371","18,606","18,606"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,May-21,"244,096","244,096","23,942","23,942"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-21,"184,518","184,518","18,394","18,394"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-22,"103,282","103,282","50,855","50,855"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-22,"75,741","75,741","17,351","17,351"
Arkansas,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-23,"93,060","93,060","18,394","18,394"
Arkansas,02 Meat And Edible Meat Offal,South America,Oct-24,"148,193","148,193","28,014","28,014"
Arkansas,02 Meat And Edible Meat Offal,South America,Mar-25,"157,835","157,835","26,894","26,894"
Arkansas,02 Meat And Edible Meat Offal,South America,Apr-25,"124,065","124,065","24,773","24,773"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-08,"128,252","128,252","34,767","34,767"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-08,"87,866","87,866","16,765","16,765"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-08,"351,539","351,539","67,060","67,060"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,May-08,"175,882","175,882","33,530","33,530"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-08,"263,748","263,748","50,295","50,295"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-08,"87,941","87,941","16,765","16,765"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-08,"87,941","87,941","16,765","16,765"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-08,"90,294","90,294","16,765","16,765"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-08,"185,154","185,154","33,530","33,530"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-08,"193,097","193,097","33,530","33,530"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-09,"201,204","201,204","33,530","33,530"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-09,"201,128","201,128","33,565","33,565"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Apr-09,"302,092","302,092","50,295","50,295"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,May-09,"100,726","100,726","16,765","16,765"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-09,"100,726","100,726","16,800","16,800"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-09,"362,310","362,310","70,295","70,295"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-09,"197,192","197,192","33,530","33,530"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-09,"344,574","344,574","69,346","69,346"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-09,"336,321","336,321","69,255","69,255"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-09,"96,560","96,560","16,765","16,765"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-09,"350,020","350,020","87,827","87,827"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-10,"314,930","314,930","129,795","129,795"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-10,"72,624","72,624","19,543","19,543"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-10,"55,251","55,251","18,960","18,960"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-12,"55,210","55,210","16,692","16,692"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-12,"111,201","111,201","33,384","33,384"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,May-13,"45,825","45,825","17,055","17,055"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-13,"52,602","52,602","18,886","18,886"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-13,"54,951","54,951","19,612","19,612"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-13,"224,720","224,720","16,849","16,849"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-14,"98,744","98,744","35,652","35,652"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Apr-14,"48,900","48,900","19,612","19,612"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,May-14,"48,900","48,900","18,523","18,523"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-14,"51,750","51,750","16,692","16,692"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-14,"50,025","50,025","16,170","16,170"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-14,"92,992","92,992","33,978","33,978"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-14,"45,946","45,946","16,989","16,989"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-15,"44,398","44,398","16,990","16,990"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-16,"38,135","38,135","18,818","18,818"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Apr-17,"74,550","74,550","23,903","23,903"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-18,"61,900","61,900","23,114","23,114"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-18,"475,718","475,718","164,669","164,669"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-18,"610,109","610,109","217,000","217,000"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-19,"218,301","218,301","74,598","74,598"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-19,"45,100","45,100","21,900","21,900"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-19,"125,414","125,414","28,166","28,166"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-19,"3,200","3,200",641,641
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-19,"45,579","45,579","27,113","27,113"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-19,"240,183","240,183","117,101","117,101"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-19,"150,910","150,910","68,850","68,850"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-20,"109,030","109,030","46,157","46,157"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-20,"54,000","54,000","22,540","22,540"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-20,"105,190","105,190","48,973","48,973"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Apr-20,"52,110","52,110","23,274","23,274"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,May-20,"200,486","200,486","91,809","91,809"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-20,"53,020","53,020","45,474","45,474"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-20,"80,696","80,696","43,685","43,685"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-20,"220,190","220,190","113,984","113,984"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-20,"102,870","102,870","43,400","43,400"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-20,"177,820","177,820","66,523","66,523"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-20,"80,350","80,350","49,044","49,044"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Australia and Oceania,Feb-10,"69,660","69,660","18,246","18,246"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Australia and Oceania,Mar-12,"65,635","65,635","17,991","17,991"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Australia and Oceania,Jan-13,"64,731","64,731","17,991","17,991"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",Australia and Oceania,Jul-13,"69,107","69,107","17,991","17,991"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,May-08,"51,838","51,838","17,710","17,710"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,Feb-10,"33,317","33,317","25,913","25,913"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,Apr-13,"163,095","163,095","21,718","21,718"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,Sep-13,"64,850","64,850","19,400","19,400"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,May-14,"162,511","162,511","14,206","14,206"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,Aug-16,"62,231","62,231","23,460","23,460"
Arkansas,"03 Fish, Crustaceans & Aquatic Invertebrates",South America,Mar-18,"84,800","84,800","8,290","8,290"
Arkansas,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,Australia and Oceania,Nov-22,"244,480","244,480","15,791","15,791"
Arkansas,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,Australia and Oceania,Apr-23,"205,937","205,937","6,244","6,244"
Arkansas,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,Australia and Oceania,Jul-23,"379,330","379,330","12,274","12,274"
Arkansas,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,Australia and Oceania,Oct-23,"485,337","485,337","15,245","15,245"
