State Imports by HS Commodities,,,,,,,
Current date: 07/30/2025 1:59 PM (Eastern Daylight Time),,,,,,,
State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Jul-21,"113,752","113,752","25,200","25,200"
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Jan-22,"104,643","104,643","25,200","25,200"
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Apr-22,"108,872","108,872","25,200","25,200"
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Sep-23,"121,120","121,120","25,200","25,200"
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Dec-23,"121,250","121,250","26,500","26,500"
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Jan-24,"112,300","112,300","26,250","26,250"
Iowa,02 Meat And Edible Meat Offal,Asia - Other,Feb-24,"109,300","109,300","26,500","26,500"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-09,"59,260","59,260","27,254","27,254"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-09,"196,310","196,310","60,000","60,000"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-11,"111,559","111,559","22,440","22,440"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-12,"257,089","257,089","46,084","46,084"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-12,"89,492","89,492","16,573","16,573"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-12,"211,311","211,311","42,238","42,238"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-12,"120,544","120,544","25,772","25,772"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-12,"92,865","92,865","23,839","23,839"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-13,"145,987","145,987","25,387","25,387"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-13,"245,754","245,754","45,744","45,744"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-14,"198,298","198,298","41,068","41,068"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-14,"129,348","129,348","23,552","23,552"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-14,"124,685","124,685","25,028","25,028"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-15,"371,477","371,477","34,698","34,698"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-15,"114,605","114,605","25,814","25,814"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-15,"221,849","221,849","51,727","51,727"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-16,"81,642","81,642","14,629","14,629"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-16,"473,275","473,275","90,043","90,043"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-16,"1,431,383","1,431,383","305,401","305,401"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-16,"538,331","538,331","133,797","133,797"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-16,"819,513","819,513","130,653","130,653"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-16,"884,264","884,264","168,473","168,473"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-16,"1,172,789","1,172,789","233,460","233,460"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-16,"921,709","921,709","169,317","169,317"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-16,"312,243","312,243","55,732","55,732"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-16,"1,182,192","1,182,192","219,393","219,393"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-17,"1,690,390","1,690,390","325,655","325,655"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-17,"800,561","800,561","167,817","167,817"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-17,"2,381,669","2,381,669","412,337","412,337"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-17,"1,548,061","1,548,061","252,535","252,535"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,May-17,"806,038","806,038","122,722","122,722"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jun-17,"832,510","832,510","145,836","145,836"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jul-17,"403,021","403,021","63,241","63,241"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Aug-17,"1,835,797","1,835,797","300,386","300,386"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Sep-17,"1,448,821","1,448,821","260,002","260,002"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Oct-17,"1,651,772","1,651,772","329,766","329,766"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Nov-17,"1,189,610","1,189,610","207,749","207,749"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-17,"674,052","674,052","146,571","146,571"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-18,"1,000,988","1,000,988","219,601","219,601"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-18,"1,091,201","1,091,201","210,526","210,526"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-18,"1,621,699","1,621,699","306,293","306,293"
